# experiment_type: task_scaling
# Ks: [2, 3]
# Ts: [5, 10, 15, 20]
# num_bays_rule: equal_to_T
# time_limit: 1000.0
# mip_gap: None
# seeds: [1, 2, 3, 4, 5]
experiment_type,K,T,num_bays,seed,time_limit,status,objective,makespan,gap_percent,runtime,best_bound,node_count,sol_count
task_scaling,3,5,5,4,1000.0,OPTIMAL,25014.04468931399,245.92419346952727,0.0,0.2690000534057617,25014.044689313985,798.0,4
task_scaling,3,5,5,5,1000.0,OPTIMAL,29113.047537322,285.0939275411515,0.0,0.2709999084472656,29113.047537322,963.0,7
task_scaling,3,10,10,1,1000.0,TIME_LIMIT,37152.74764443269,361.03989836563323,61.75323084124194,1000.0009999275208,14209.725627702093,431107.0,10
task_scaling,3,10,10,2,1000.0,TIME_LIMIT,41369.43544927482,402.2450207467484,72.03375310942481,1000.0060000419617,11569.478454981336,937422.0,10
task_scaling,3,10,10,3,1000.0,TIME_LIMIT,28305.870676035556,275.2816277189747,61.196122889773285,1000.0079998970032,10983.775272108538,914580.0,10
task_scaling,3,10,10,4,1000.0,TIME_LIMIT,32473.620122314394,315.84830775636374,77.27715307671592,1000.0010001659393,7378.9309908422765,988141.0,10
task_scaling,3,10,10,5,1000.0,TIME_LIMIT,37494.41767898583,364.8979494844581,81.34880914173114,1000.0099999904633,6993.1554025041505,410697.0,10
task_scaling,3,15,15,1,1000.0,TIME_LIMIT,46890.022912955515,455.50482633253637,94.00072584842842,1000.0010001659393,2813.0610242829343,343243.0,10
task_scaling,3,15,15,2,1000.0,TIME_LIMIT,62820.51558840473,610.4102384646638,85.53389649153073,1000.0019998550415,9087.6808095727,394965.0,10
task_scaling,3,15,15,3,1000.0,TIME_LIMIT,44649.51664903711,433.59522782883846,88.80775317044125,1000.0009999275208,4997.284111565166,548238.0,10
task_scaling,3,15,15,4,1000.0,TIME_LIMIT,43468.6288668215,422.82638641498033,91.54880484296994,1000.0,3673.618657620186,613617.0,10
task_scaling,3,15,15,5,1000.0,TIME_LIMIT,47459.25755850035,461.1505205552654,87.19480191018782,1000.0139999389648,6077.2519423201275,406458.0,10
task_scaling,3,20,20,1,1000.0,TIME_LIMIT,74208.15832098709,721.0238711424008,96.53058274268696,1000.0010001659393,2574.590651122506,213277.0,10
task_scaling,3,20,20,2,1000.0,TIME_LIMIT,76157.10501325034,739.7618138239643,94.87117386843057,1000.0029997825623,3905.9655029663577,276357.0,10
task_scaling,3,20,20,3,1000.0,TIME_LIMIT,64458.27025090064,626.6060252258143,94.4122531129228,1000.0,3601.764989408512,297116.0,10
task_scaling,3,20,20,4,1000.0,TIME_LIMIT,61096.082117038444,593.4719856229789,94.71295368926067,1000.0019998550415,3230.178155575149,294885.0,10
task_scaling,3,20,20,5,1000.0,TIME_LIMIT,66866.03632606672,651.2390768872658,95.2796794815,1000.0079998970032,3156.2912326069977,247983.0,10
